,optimizer,learning_rate,regularizer,regularizer_lambda,batch_size,rmse,epoch,train_time
262,SGD,0.005,l1,1e-05,1024,71887.22765797794,499,37.77329754829407
263,SGD,0.005,l2,0.001,1024,71901.91846566965,499,38.24110293388367
264,SGD,0.005,l2,0.0001,1024,72435.40567290608,499,37.94657373428345
265,SGD,0.005,l2,1e-05,1024,69499.07005892013,499,38.441326379776
266,SGD,0.005,l0,-inf,2048,75611.0166929441,499,35.49389696121216
267,SGD,0.005,l1,0.001,2048,96540.85806108495,499,36.55553150177002
268,SGD,0.005,l1,0.0001,2048,77210.79286836364,499,37.17941737174988
269,SGD,0.005,l1,1e-05,2048,77450.81570148726,499,36.961501121520996
270,SGD,0.005,l2,0.001,2048,76358.46380881905,499,37.023475885391235
271,SGD,0.005,l2,0.0001,2048,75006.05349155844,499,36.87693428993225
272,SGD,0.005,l2,1e-05,2048,75892.60985135972,499,36.51355171203613
273,SGD,0.005,l0,-inf,inf,107320.9557340147,499,46.865156173706055
274,SGD,0.005,l1,0.001,inf,110630.9181426832,499,46.810866355895996
275,SGD,0.005,l1,0.0001,inf,104915.62367258217,499,47.09917426109314
276,SGD,0.005,l1,1e-05,inf,105851.2243843295,499,47.12535524368286
277,SGD,0.005,l2,0.001,inf,102026.53499447384,499,47.33478856086731
278,SGD,0.005,l2,0.0001,inf,103817.82755758651,499,47.07567572593689
279,SGD,0.005,l2,1e-05,inf,105642.80169031859,499,47.133687019348145
280,SGD,0.001,l0,-inf,32,65537.88392766274,499,187.90803933143616
281,SGD,0.001,l1,0.001,32,98681.0898189958,56,28.23822021484375
282,SGD,0.001,l1,0.0001,32,66512.46869561591,469,231.5230667591095
283,SGD,0.001,l1,1e-05,32,64212.16467202931,499,245.28664302825928
284,SGD,0.001,l2,0.001,32,66121.53629599436,499,256.72821497917175
285,SGD,0.001,l2,0.0001,32,63270.0660414886,499,256.90910816192627
286,SGD,0.001,l2,1e-05,32,64998.900263851,499,258.2589740753174
287,SGD,0.001,l0,-inf,64,67989.22724182869,499,106.24050283432007
288,SGD,0.001,l1,0.001,64,94940.014569162,104,28.524194717407227
289,SGD,0.001,l1,0.0001,64,67786.83512334104,499,135.55869579315186
290,SGD,0.001,l1,1e-05,64,65943.23626561898,499,134.92826199531555
291,SGD,0.001,l2,0.001,64,66669.94290260633,499,139.63492918014526
292,SGD,0.001,l2,0.0001,64,67368.38647993145,499,140.2360098361969
293,SGD,0.001,l2,1e-05,64,66898.61574438712,499,141.6849160194397
294,SGD,0.001,l0,-inf,128,66877.8702620261,499,64.25424814224243
295,SGD,0.001,l1,0.001,128,93302.53377948854,199,31.680880069732666
296,SGD,0.001,l1,0.0001,128,70231.31592159541,499,78.95716762542725
297,SGD,0.001,l1,1e-05,128,69946.00435644148,499,78.86094498634338
298,SGD,0.001,l2,0.001,128,69795.27050424168,499,81.64920210838318
299,SGD,0.001,l2,0.0001,128,68141.05686871576,499,81.72867250442505
300,SGD,0.001,l2,1e-05,128,69122.71421432216,499,81.02495193481445
301,SGD,0.001,l0,-inf,256,72722.48909591354,499,46.158127307891846
302,SGD,0.001,l1,0.001,256,95480.95397856538,393,41.891608476638794
303,SGD,0.001,l1,0.0001,256,70989.75866474597,499,53.25897264480591
304,SGD,0.001,l1,1e-05,256,70991.52564391063,499,53.860527992248535
305,SGD,0.001,l2,0.001,256,74280.91448059614,499,54.54410266876221
306,SGD,0.001,l2,0.0001,256,72581.91859356262,499,54.81112051010132
307,SGD,0.001,l2,1e-05,256,72117.80693528509,499,54.62825417518616
308,SGD,0.001,l0,-inf,512,77549.733510351,499,36.61319398880005
309,SGD,0.001,l1,0.001,512,97103.83672905985,499,40.56205487251282
310,SGD,0.001,l1,0.0001,512,79717.30230407375,499,40.2461941242218
311,SGD,0.001,l1,1e-05,512,76379.36694301787,499,39.94012403488159
312,SGD,0.001,l2,0.001,512,78223.2302566956,499,41.10824394226074
313,SGD,0.001,l2,0.0001,512,77084.15339521616,499,41.19027519226074
314,SGD,0.001,l2,1e-05,512,78438.19568908503,499,40.44763660430908
315,SGD,0.001,l0,-inf,1024,97050.38156291663,499,36.117236375808716
316,SGD,0.001,l1,0.001,1024,99110.69114809713,499,37.73628783226013
317,SGD,0.001,l1,0.0001,1024,96691.79674175566,499,38.542447090148926
318,SGD,0.001,l1,1e-05,1024,99903.17649949697,499,37.642332315444946
319,SGD,0.001,l2,0.001,1024,94748.87551784741,499,38.418033599853516
320,SGD,0.001,l2,0.0001,1024,91089.18884262374,499,38.24704670906067
321,SGD,0.001,l2,1e-05,1024,94137.7536306591,499,38.53224182128906
322,SGD,0.001,l0,-inf,2048,108518.69722196819,499,35.821444272994995
323,SGD,0.001,l1,0.001,2048,108314.37887892801,499,36.82360792160034
324,SGD,0.001,l1,0.0001,2048,107833.02107701947,499,37.19231295585632
325,SGD,0.001,l1,1e-05,2048,105963.0152636659,499,37.228907346725464
326,SGD,0.001,l2,0.001,2048,104531.90104670185,499,37.251166105270386
327,SGD,0.001,l2,0.0001,2048,108251.46894184448,499,37.31737780570984
328,SGD,0.001,l2,1e-05,2048,107996.31254427892,499,36.886382818222046
329,SGD,0.001,l0,-inf,inf,111629.39278710159,499,47.41678810119629
330,SGD,0.001,l1,0.001,inf,111740.52848237546,499,47.69838094711304
331,SGD,0.001,l1,0.0001,inf,113392.01801838826,499,48.31035256385803
332,SGD,0.001,l1,1e-05,inf,111324.74308521251,499,48.691845178604126
333,SGD,0.001,l2,0.001,inf,114425.56464584828,499,48.714903593063354
334,SGD,0.001,l2,0.0001,inf,110989.0334476235,499,48.066492557525635
335,SGD,0.001,l2,1e-05,inf,113835.18712754248,499,48.229658365249634
336,SGD,0.0005,l0,-inf,32,66733.67964968525,499,190.62897539138794
337,SGD,0.0005,l1,0.001,32,94344.40601105646,102,50.92562747001648
338,SGD,0.0005,l1,0.0001,32,67244.60321047278,499,249.63319873809814
339,SGD,0.0005,l1,1e-05,32,66631.07840913371,499,247.7148654460907
340,SGD,0.0005,l2,0.001,32,67248.1071370957,499,257.62423062324524
341,SGD,0.0005,l2,0.0001,32,67558.70339426883,499,258.31949281692505
342,SGD,0.0005,l2,1e-05,32,67787.3151196679,499,258.059122800827
343,SGD,0.0005,l0,-inf,64,69153.48478457006,499,107.25457692146301
344,SGD,0.0005,l1,0.001,64,96159.76479856466,199,54.57540678977966
345,SGD,0.0005,l1,0.0001,64,69933.32280938007,499,137.49358224868774
346,SGD,0.0005,l1,1e-05,64,69755.79505173682,499,136.7757592201233
347,SGD,0.0005,l2,0.001,64,70280.66599297874,499,141.32457876205444
348,SGD,0.0005,l2,0.0001,64,70055.60382742407,499,141.24565267562866
349,SGD,0.0005,l2,1e-05,64,69418.84436514284,499,141.25989365577698
350,SGD,0.0005,l0,-inf,128,71187.12884088937,499,64.38075351715088
351,SGD,0.0005,l1,0.001,128,92864.00813392035,393,62.171916007995605
352,SGD,0.0005,l1,0.0001,128,72551.2630395722,499,79.87545204162598
353,SGD,0.0005,l1,1e-05,128,72511.47909869981,499,79.58717155456543
354,SGD,0.0005,l2,0.001,128,73459.35117215409,499,82.54181337356567
355,SGD,0.0005,l2,0.0001,128,73512.88731644026,499,82.37242889404297
356,SGD,0.0005,l2,1e-05,128,73344.771634708,499,82.74757194519043
357,SGD,0.0005,l0,-inf,256,79048.91128326235,499,46.93164396286011
358,SGD,0.0005,l1,0.001,256,94012.44792609054,499,54.219884634017944
359,SGD,0.0005,l1,0.0001,256,75205.05218189281,499,54.47246551513672
360,SGD,0.0005,l1,1e-05,256,79542.51422659554,499,53.795859575271606
361,SGD,0.0005,l2,0.001,256,82955.79621679526,499,55.49765872955322
362,SGD,0.0005,l2,0.0001,256,76876.36158451873,499,55.209938764572144
363,SGD,0.0005,l2,1e-05,256,77445.75730396717,499,55.80846619606018
364,SGD,0.0005,l0,-inf,512,94022.43434430608,499,37.05078387260437
365,SGD,0.0005,l1,0.001,512,106443.13252301334,499,41.36816883087158
366,SGD,0.0005,l1,0.0001,512,93098.58056071846,499,41.161755084991455
367,SGD,0.0005,l1,1e-05,512,95754.54508769553,499,41.06807589530945
368,SGD,0.0005,l2,0.001,512,92727.4009688137,499,42.199326038360596
369,SGD,0.0005,l2,0.0001,512,96077.1754711075,499,41.73958134651184
370,SGD,0.0005,l2,1e-05,512,93453.53886622399,499,41.74452257156372
371,SGD,0.0005,l0,-inf,1024,106257.94457409681,499,36.728941440582275
372,SGD,0.0005,l1,0.001,1024,108850.75997845278,499,39.089667081832886
373,SGD,0.0005,l1,0.0001,1024,106138.41395146548,499,38.689815044403076
374,SGD,0.0005,l1,1e-05,1024,105450.12050628368,499,38.51231145858765
375,SGD,0.0005,l2,0.001,1024,105804.29886425297,499,38.58385133743286
376,SGD,0.0005,l2,0.0001,1024,105814.96535836172,499,38.55877470970154
377,SGD,0.0005,l2,1e-05,1024,106911.13967750415,499,38.608437061309814
378,SGD,0.0005,l0,-inf,2048,109854.28666942577,499,36.91441249847412
379,SGD,0.0005,l1,0.001,2048,110106.63730539291,499,37.97234344482422
380,SGD,0.0005,l1,0.0001,2048,109820.00761760493,499,38.12109637260437
381,SGD,0.0005,l1,1e-05,2048,109751.7972384867,499,38.398717164993286
382,SGD,0.0005,l2,0.001,2048,109920.014015541,499,38.31402945518494
383,SGD,0.0005,l2,0.0001,2048,109301.91028953677,499,39.30103850364685
384,SGD,0.0005,l2,1e-05,2048,112058.20974556958,499,38.7360417842865
385,SGD,0.0005,l0,-inf,inf,116458.69505755177,499,50.439260482788086
386,SGD,0.0005,l1,0.001,inf,120895.0016512648,499,50.0567524433136
387,SGD,0.0005,l1,0.0001,inf,116834.49614962433,499,49.52028512954712
